date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-02-24,0022400827,UTA,POR,226,232.0,5.821882831770998,237.821882831771,5.821882831771006,0.5829616623003131,,,,False,843,0,0
2025-02-24,0022400826,OKC,MIN,259,227.16666666666666,0.2519207549093053,227.41858742157595,0.25192075490929255,0.6731057801659616,,,,False,843,0,0
2025-02-24,0022400825,ATL,MIA,184,227.16666666666666,-1.1784299074398943,225.98823675922677,-1.1784299074398916,0.42132105177247,,,,False,843,0,0
2025-02-25,0022400834,GSW,CHA,220,222.5,-1.0995934822383546,221.40040651776164,-1.0995934822383617,0.529793988306765,,,,False,851,0,0
2025-02-25,0022400833,NOP,SAS,212,237.83333333333334,2.3882942476324733,240.22162758096582,2.388294247632473,0.4932613865374286,,,,False,851,0,0
2025-02-25,0022400832,MEM,PHX,299,244.83333333333334,-0.4645321073000036,244.36880122603333,-0.46453210730001615,0.6615331598298155,,,,False,851,0,0
2025-02-25,0022400835,LAL,DAL,206,231.5,-1.4762818662974977,230.02371813370252,-1.4762818662974837,0.16830240381461584,,,,False,851,0,0
2025-02-25,0022400830,ORL,CLE,204,224.16666666666666,-6.187693725124556,217.9789729415421,-6.1876937251245465,0.5462758289071302,,,,False,851,0,0
2025-02-25,0022400829,TOR,BOS,212,226.33333333333334,0.2561308070468393,226.5894641403802,0.2561308070468442,0.30413052139557484,,,,False,851,0,0
2025-02-25,0022400831,HOU,MIL,197,226.33333333333334,5.0529782203360325,231.38631155366937,5.05297822033603,0.3112142162782032,OVER,LOSS,-1.0,False,851,0,0
2025-02-26,0022400844,HOU,SAS,224,227.0,3.342857144419806,230.3428571444198,3.34285714441981,0.39223514382014923,,,,False,858,0,0
2025-02-26,0022400843,UTA,SAC,219,235.66666666666666,-1.889198916037737,233.77746775062892,-1.889198916037742,0.373535012496772,,,,False,858,0,0
2025-02-26,0022400842,CHI,LAC,239,228.0,2.5973177413999573,230.59731774139996,2.597317741399962,0.33933177390537356,,,,False,858,0,0
2025-02-26,0022400841,MIA,ATL,240,229.16666666666666,2.780837695833156,231.9475043624998,2.7808376958331564,0.5334112147247332,,,,False,858,0,0
2025-02-26,0022400836,DET,BOS,214,225.83333333333334,0.676344143893388,226.50967747722672,0.6763441438933739,0.4790541091187383,,,,False,858,0,0
2025-02-26,0022400839,WAS,POR,250,230.33333333333334,7.997851498325108,238.33118483165845,7.997851498325105,0.3579978086590011,OVER,WIN,0.9090909090909091,False,858,0,0
2025-02-26,0022400838,NYK,PHI,215,231.0,1.81332745135841,232.81332745135842,1.8133274513584183,0.5634895152341346,,,,False,858,0,0
2025-02-26,0022400837,IND,TOR,202,235.83333333333334,-4.069599706796268,231.7637336265371,-4.069599706796254,0.748182434823378,UNDER,WIN,0.9090909090909091,False,858,0,0
2025-02-26,0022400840,BKN,OKC,250,217.16666666666666,-12.78062396280793,204.38604270385872,-12.780623962807937,0.5915438343412052,,,,False,858,0,0
2025-02-27,0022400845,ORL,GSW,236,210.5,8.415600524993874,218.91560052499386,8.415600524993863,0.5420540884367765,,,,False,867,0,0
2025-02-27,0022400847,DAL,CHA,199,223.33333333333334,-3.595633120252297,219.73770021308104,-3.5956331202523018,0.6693651226592986,,,,False,867,0,0
2025-02-27,0022400846,MIL,DEN,233,240.16666666666666,13.273309086460353,253.43997575312702,13.273309086460358,0.15043147417547345,,,,False,867,0,0
2025-02-27,0022400849,LAL,MIN,213,226.16666666666666,4.355750712017964,230.52241737868462,4.355750712017965,0.11707408923401755,OVER,LOSS,-1.0,False,867,0,0
2025-02-27,0022400848,PHX,NOP,240,235.66666666666666,-3.672303449699696,231.99436321696697,-3.672303449699683,0.5833619586165519,,,,False,867,0,0
2025-02-28,0022400854,MIA,IND,245,225.5,0.7549075073150053,226.254907507315,0.7549075073150107,0.45555732330629506,,,,False,872,0,0
2025-02-28,0022400851,ATL,OKC,254,241.83333333333334,-0.005766837613385967,241.82756649571996,-0.005766837613379039,0.6646202264262687,,,,False,872,0,0
2025-02-28,0022400852,BOS,CLE,239,232.5,6.233220520356268,238.73322052035627,6.233220520356269,0.24369982818714322,OVER,WIN,0.9090909090909091,False,872,0,0
2025-02-28,0022400853,BKN,POR,223,218.33333333333334,6.523097788391707,224.85643112172505,6.523097788391709,0.4765702307554,OVER,WIN,0.9090909090909091,False,872,0,0
2025-02-28,0022400850,DET,DEN,253,237.0,6.141396369369247,243.14139636936926,6.141396369369261,0.4029209676913355,OVER,WIN,0.9090909090909091,False,872,0,0
