side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
NO,0.65,0,0,0.0,0.0,0.0,0.0,0.0,,,4,Phase 1: Baseline,random_forest,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.5,44,27,0.6136363636363636,-2.3000000000000043,-0.5227272727272737,12.861447261971673,2.923056195902653,0.1599151352357916,0.19543793482353672,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.55,43,26,0.6046511627906976,-8.800000000000004,-2.0465116279069777,5.840170666226994,1.3581792247039521,0.16522032707657022,0.19586152103905163,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.6,36,22,0.6111111111111112,-0.10000000000000497,-0.02777777777777916,12.526236110425957,3.479510030673877,0.20534741716434501,0.2125307703139822,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.65,32,20,0.625,3.799999999999999,1.1874999999999996,15.131743236481018,4.728669761400319,0.2232857838897345,0.23454099691999308,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.5,25,12,0.48,7.9999999999999964,3.199999999999999,17.04120281168933,6.816481124675732,0.15001507296636288,0.14101436486871238,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.55,14,6,0.42857142857142855,-14.8,-10.571428571428571,-10.341261603375221,-7.3866154309823004,0.2133859300279872,0.1881015138498621,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.6,9,3,0.3333333333333333,-23.400000000000006,-26.000000000000007,-21.0433203823797,-23.381467091533,0.2763291684035061,0.2418590235019228,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
NO,0.65,7,1,0.14285714285714285,-47.400000000000006,-67.71428571428572,-46.54761904761905,-66.49659863945578,0.3015370697045472,0.2480762509558863,4,Phase 2: Modern ML,lightgbm,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
YES,0.5,51,30,0.5882352941176471,-18.600000000000005,-3.647058823529413,-1.4774027430391747,-0.2896868123606225,0.10893729592213997,0.11221515981456898,4,Phase 2: Modern ML,xgboost,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95
